dataset number,volume,mass,density
1,1.200,1.198,0.9984
1,1.201,1.199,0.9984
1,1.202,1.200,0.9984
1,1.203,1.201,0.9984
1,1.204,1.202,0.9984
1,1.205,1.203,0.9984
2,1.200,1.200,1
2,1.201,1.201,1
2,1.202,1.202,1
2,1.203,1.203,1
2,1.204,1.204,1
2,1.205,1.205,1
3,1.200,1.199,0.999127
3,1.201,1.200,0.999127
3,1.202,1.201,0.999127
3,1.203,1.202,0.999127
3,1.204,1.203,0.999127
3,1.205,1.204,0.999127
4,1.200,1.195,0.9954786816
4,1.201,1.196,0.9954786816
4,1.202,1.197,0.9954786816
4,1.203,1.198,0.9954786816
4,1.204,1.199,0.9954786816
4,1.205,1.200,0.9954786816
5,1.2000,1.1929,0.9941
5,1.2010,1.1939,0.9941
5,1.2020,1.1949,0.9941
5,1.2030,1.1959,0.9941
5,1.2040,1.1968,0.9941
5,1.2050,1.1978,0.9941
6,1.2000,1.1883,0.9902
6,1.2010,1.1893,0.9902
6,1.2020,1.1903,0.9902
6,1.2030,1.1913,0.9902
6,1.2040,1.1922,0.9902
6,1.2050,1.1932,0.9902
7,1.2000,1.1828,0.9857
7,1.2010,1.1838,0.9857
7,1.2020,1.1848,0.9857
7,1.2030,1.1858,0.9857
7,1.2040,1.1868,0.9857
7,1.2050,1.1878,0.9857
8,1.2000,1.1767,0.9806
8,1.2010,1.1777,0.9806
8,1.2020,1.1786,0.9806
8,1.2030,1.1796,0.9806
8,1.2040,1.1806,0.9806
8,1.2050,1.1816,0.9806